TimePeriod,GeoType,GeoID,GeoRank,Geography,Age-adjusted percent,Number,Percent
2017,UHF34,206,3,Borough Park,"2.2* (1.1, 4.7)","6,000*","2.3* (1.1, 4.8)"
2017,UHF34,207,3,East Flatbush - Flatbush,"4.0 (2.3, 7.0)","10,000","4.3 (2.4, 7.5)"
2017,UHF34,208,3,Canarsie - Flatlands,"3.8* (1.7, 8.3)","7,000*","4.4* (1.8, 10.0)"
2017,UHF34,209,3,Bensonhurst - Bay Ridge,"2.2* (0.8, 5.6)","4,000*","2.2* (0.8, 5.9)"
2017,UHF34,210,3,Coney Island - Sheepshead Bay,"2.5* (1.2, 5.3)","7,000*","2.9* (1.4, 6.0)"
2017,UHF34,211,3,Williamsburg - Bushwick,"2.2* (1.0, 4.6)","3,000*","2.0* (0.9, 4.1)"
2017,UHF34,301,3,Washington Heights,"7.2 (4.2, 12.2)","16,000*","7.7* (4.2, 13.7)"
2017,UHF34,302,3,Central Harlem - Morningside Heights,"1.9* (0.9, 3.9)","2,000*","1.8* (0.9, 3.8)"
2017,UHF34,303,3,East Harlem,"12.6* (4.8, 29.5)",**,**
2017,UHF34,304,3,Upper West Side,"1.1* (0.3, 3.9)","2,000*","1.0* (0.3, 3.4)"
2017,UHF34,401,3,Long Island City - Astoria,"5.4* (2.1, 12.8)",**,**
2017,UHF34,402,3,West Queens,"2.5 (1.4, 4.3)","10,000","2.6 (1.5, 4.4)"
2017,UHF34,403,3,Flushing - Clearview,"3.8* (1.6, 8.6)","12,000*","5.3* (2.3, 11.7)"
2017,UHF34,405,3,Ridgewood - Forest Hills,"4.8 (2.9, 7.9)","10,000","4.7 (2.8, 7.8)"
2017,UHF34,407,3,Southwest Queens,"2.9* (1.5, 5.4)","6,000*","3.0* (1.5, 5.9)"
2017,UHF34,408,3,Jamaica,"6.0* (2.6, 13.0)","13,000*","5.6* (2.4, 12.6)"
2017,UHF34,409,3,Southeast Queens,**,**,**
2017,UHF34,410,3,Rockaways,"7.4* (3.1, 16.6)",**,**
2017,UHF34,305307,3,Upper East Side-Gramercy,"4.2 (2.4, 7.2)","13,000","4.0 (2.2, 7.1)"
2017,UHF34,306308,3,Chelsea-Village  ,"3.7* (1.7, 7.8)","7,000*","3.3* (1.5, 7.1)"
2017,UHF34,309310,3,Union Square-Lower Manhattan,"5.1* (2.5, 9.9)","11,000*","5.0* (2.4, 10.1)"
2017,UHF34,404406,3,Bayside Little Neck-Fresh Meadows,"1.9* (0.7, 4.9)","3,000*","2.2* (0.8, 5.9)"
2017,UHF34,501502,3,Northern SI,"2.0* (0.7, 5.6)","3,000*","2.0* (0.7, 5.3)"
2017,UHF34,503504,3,Southern SI,"1.4* (0.6, 3.2)","3,000*","1.3* (0.6, 2.9)"
2017,UHF34,105106107,3,South Bronx,"7.0 (4.8, 10.1)","30,000","7.4 (5.0, 10.9)"
2017,Borough,1,1,Bronx,"6.8 (5.4, 8.5)","74,000","7.0 (5.5, 8.8)"
2017,Borough,2,1,Brooklyn,"3.7 (2.9, 4.6)","73,000","3.7 (2.9, 4.6)"
2017,Borough,3,1,Manhattan,"4.6 (3.3, 6.2)","61,000","4.5 (3.3, 6.2)"
2017,Borough,4,1,Queens,"3.9 (2.9, 5.3)","76,000","4.1 (3.1, 5.5)"
2017,Borough,5,1,Staten Island,"1.7* (0.9, 3.3)","6,000*","1.6* (0.8, 3.0)"
2017,Citywide,1,0,New York City,"4.3 (3.8, 4.9)","289,000","4.4 (3.8, 5.0)"
2016,UHF34,101,3,Kingsbridge - Riverdale,"7.9* (3.3, 17.8)",**,**
2016,UHF34,102,3,Northeast Bronx,"5.0* (2.3, 10.9)","9,000*","5.7* (2.5, 12.7)"
2016,UHF34,103,3,Fordham - Bronx Pk,"1.6* (0.7, 3.6)","4,000*","2.0* (0.9, 4.3)"
2016,UHF34,104,3,Pelham - Throgs Neck,"6.3 (3.5, 11.0)","15,000","6.3 (3.5, 11.0)"
2016,UHF34,201,3,Greenpoint,**,**,**
2016,UHF34,202,3,Downtown - Heights - Slope,"2.5* (1.2, 5.4)","4,000*","2.5* (0.9, 6.3)"
2016,UHF34,203,3,Bedford Stuyvesant - Crown Heights,"5.7 (3.6, 8.8)","14,000","5.5 (3.5, 8.6)"
2016,UHF34,204,3,East New York,"5.1* (2.5, 10.1)","7,000*","5.2* (2.6, 10.2)"
2016,UHF34,205,3,Sunset Park,"1.6* (0.4, 5.5)","2,000*","1.6* (0.4, 5.8)"
2016,UHF34,206,3,Borough Park,"2.4* (1.0, 5.6)","6,000*","2.3* (0.9, 5.5)"
2016,UHF34,207,3,East Flatbush - Flatbush,"1.4* (0.6, 3.0)","4,000*","1.6* (0.8, 3.4)"
2016,UHF34,208,3,Canarsie - Flatlands,"9.6* (3.7, 22.4)","12,000*","7.9* (3.0, 19.6)"
